location,title,creator,album,trackNum
file:///music/SpeakToMe.mp3,Speak to Me,Pink Floyd,The Dark Side of the Moon,1
file:///music/Breathe.mp3,Breathe,Pink Floyd,The Dark Side of the Moon,2
file:///music/OnTheRun.mp3,On the Run,Pink Floyd,The Dark Side of the Moon,3
file:///music/Time.mp3,Time,Pink Floyd,The Dark Side of the Moon,4
file:///music/TheGreatGigInTheSky.mp3,The Great Gig in the Sky,Pink Floyd,The Dark Side of the Moon,5
file:///music/Money.mp3,Money,Pink Floyd,The Dark Side of the Moon,6
file:///music/UsAndThem.mp3,Us and Them,Pink Floyd,The Dark Side of the Moon,7
file:///music/AnyColourYouLike.mp3,Any Colour You Like,Pink Floyd,The Dark Side of the Moon,8
file:///music/BrainDamage.mp3,Brain Damage,Pink Floyd,The Dark Side of the Moon,9
file:///music/Eclipse.mp3,Eclipse,Pink Floyd,The Dark Side of the Moon,10
