Rank	Title	Sales	Developer(s)	Publisher(s)
1	Minecraft	180000000	Mojang	Xbox Game Studios
2	Tetris	170000000	Elektronorgtechnica	Various
3	Grand Theft Auto V	115000000	Rockstar North	Rockstar Games
4	Wii Sports	82880000	Nintendo EAD	Nintendo
5	PlayerUnknown's Battlegrounds	50000000	PUBG Corporation	PUBG Corporation
6	Super Mario Bros.	48240000	Nintendo	Nintendo
7	Pokemon Red/Green/Blue/Yellow	47520000	Game Freak	Nintendo
8	Wii Fit and Wii Fit Plus	43800000	Nintendo EAD	Nintendo
9	Mario Kart Wii	37240000	Nintendo EAD	Nintendo
10	Wii Sports Resort	33110000	Nintendo EAD	Nintendo
11	New Super Mario Bros.	30800000	Nintendo EAD	Nintendo
12	New Super Mario Bros. Wii	30280000	Nintendo EAD	Nintendo
13	The Elder Scrolls V: Skyrim	30000000	Bethesda Game Studios	Bethesda Softworks
14	Diablo III and Reaper of Souls	30000000	Blizzard Entertainment	Blizzard Entertainment
15	Pokemon Gold/Silver/Crystal	29490000	Game Freak	Nintendo
16	Duck Hunt	28300000	Nintendo R&D1	Nintendo
17	Wii Play	28020000	Nintendo EAD	Nintendo
18	Grand Theft Auto: San Andreas	27500000	Rockstar North	Rockstar Games
19	Mario Kart 8/Deluxe	27450000	Nintendo EAD	Nintendo
20	Terraria	27000000	Re-Logic	Re-Logic
21	Call of Duty: Modern Warfare 3	26500000	Infinity Ward; Sledgehammer	Activision
22	Red Dead Redemption 2	26500000	Rockstar Studios	Rockstar Games
23	Call of Duty: Black Ops	26200000	Treyarch	Activision
24	Grand Theft Auto IV	25000000	Rockstar North	Rockstar Games
25	Pokemon Sun/Moon/Ultra Sun/Ultra Moon	24740000	Game Freak	Nintendo / The Pokemon Company
26	Pokemon Diamond/Pearl/Platinum	24730000	Game Freak	Nintendo / The Pokemon Company
27	Call of Duty: Black Ops II	24200000	Treyarch	Activision
28	FIFA 18	24000000	EA Canada	Electronic Arts
29	Kinect Adventures!	24000000	Good Science Studio	Xbox Game Studios
30	Sonic the Hedgehog	23982960	Sonic Team	Sega
31	Nintendogs	23960000	Nintendo EAD	Nintendo
32	Mario Kart DS	23600000	Nintendo EAD	Nintendo
33	Pokemon Black/White/Black/White 2	23270000	Game Freak	Nintendo
34	Call of Duty: Modern Warfare 2	22700000	Infinity Ward	Activision
35	Pokemon Ruby/Sapphire/Emerald	22540000	Game Freak	Nintendo / The Pokemon Company
36	Borderlands 2	22000000	Gearbox Software	2K Games
37	Super Mario World	20972500	Nintendo EAD	Nintendo
38	Frogger	20000000	Konami	Sega
39	Grand Theft Auto: Vice City	20000000	Rockstar North	Rockstar Games
40	Lemmings	20000000	DMA Design	Psygnosis
41	The Witcher 3: Wild Hunt	20000000	CD Projekt Red	CD Projekt
42	Brain Age	19010000	Nintendo SPD	Nintendo
43	Super Mario Bros. 3	19000000	Nintendo	Nintendo
44	Call of Duty: Ghosts	19000000	Infinity Ward	Activision
45	Mario Kart 7	18470000	Nintendo EAD	Nintendo
46	Super Mario Land	18370500	Nintendo R&D1	Nintendo
47	Sonic & Sega All-Stars Racing	17770000	Sumo Digital	Sega
48	Grand Theft Auto III	17500000	DMA Design	Rockstar Games
49	The Last of Us	17000000	Naughty Dog	Sony Computer Entertainment
50	Pokemon X and Y	16420000	Game Freak	Nintendo / The Pokemon Company
